VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
1 0.0775434
2 0.0252731
3 0.00609746
4 0.00213295
5 0.000839279
6 0.000373658
7 0.000167552
8 6.66164e-05
9 2.84461e-05
10 9.57373e-06
11 3.57308e-06
12 1.2183e-06
13 4.10673e-07
14 1.56402e-07
15 5.15038e-08
16 1.83363e-08
17 6.29219e-09
18 2.13539e-09
19 6.69754e-10
20 2.09718e-10
21 7.20655e-11
