VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
1 0.309224
2 0.27741
3 0.233024
4 0.199937
5 0.168245
6 0.13992
7 0.0875971
8 0.0432243
9 0.0340568
10 0.0177225
11 0.00699038
12 0.00307818
13 0.00148817
14 0.000626385
15 0.000239566
16 8.93094e-05
17 3.18504e-05
18 1.09983e-05
19 3.91887e-06
20 1.69671e-06
21 6.63387e-07
22 2.03649e-07
23 5.43024e-08
24 1.35973e-08
25 3.4623e-09
26 8.53792e-10
27 2.15034e-10
28 6.6557e-11
