0.1 # Slip length
250 # Number of radial elements
10 # Number of azimuthal elements
1.05 # Geometric base
10 # Sector radius
135 # Sector angle in degrees
0 # Reynolds number
0 # Strouhal times Reynolds number
1e-5 # Inner augmented region's radius
