VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
1 0.188349
2 0.0300475
3 0.00214622
4 0.000234051
5 1.94601e-05
6 8.72613e-07
7 2.63118e-08
8 1.04885e-09
9 4.65364e-11
10 2.26631e-12
11 9.07315e-14
