VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
1 0.132997
2 0.0538463
3 0.0202461
4 0.00485867
5 0.00107444
6 0.000139362
7 8.0959e-05
8 2.09162e-05
9 4.04446e-06
10 6.8437e-07
11 2.06801e-07
12 5.53317e-08
13 1.28447e-08
14 3.92445e-09
15 1.83781e-09
16 8.88282e-10
17 3.2468e-10
18 1.11777e-10
19 3.70052e-11
20 1.14971e-11
21 3.71571e-12
22 2.00535e-12
23 1.00315e-12
24 3.94812e-13
