VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
1 0.244177
2 0.228626
3 0.0813564
4 0.0270293
5 0.0141086
6 0.00985042
7 0.00682877
8 0.00445498
9 0.00167673
10 0.000645949
11 0.000249964
12 0.000144071
13 6.1446e-05
14 1.64895e-05
15 5.81157e-06
16 3.11293e-06
17 6.54928e-07
18 2.38634e-07
19 3.75803e-08
20 9.61633e-09
21 3.66137e-09
22 3.85478e-10
23 2.64536e-11
24 2.86278e-12
25 4.48416e-13
