VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
1 0.60859
2 0.143539
3 0.0493834
4 0.0119865
5 0.00526153
6 0.00123473
7 0.000443455
8 0.000134616
9 4.38482e-05
10 1.20867e-05
11 3.98522e-06
12 1.215e-06
13 3.76387e-07
14 1.10686e-07
15 3.54172e-08
16 1.10585e-08
17 3.77833e-09
