VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
1 0.185434
2 0.0817107
3 0.0152959
4 0.00192113
5 0.000592874
6 0.0001802
7 8.75149e-05
8 1.62549e-05
9 3.50127e-06
10 1.7823e-06
11 5.67504e-07
12 1.21194e-07
13 4.83237e-08
14 1.49475e-08
15 9.05495e-09
16 1.76242e-09
17 4.62419e-10
18 1.8307e-10
19 7.73099e-11
20 4.21098e-11
21 1.48663e-11
22 4.12503e-12
23 1.81014e-12
24 1.07781e-12
25 3.27995e-13
