VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
1 0.358016
2 0.288102
3 0.136493
4 0.0901201
5 0.066905
6 0.0401677
7 0.0188604
8 0.00596496
9 0.00299816
10 0.000729937
11 0.000493229
12 0.00022928
13 0.000124675
14 4.25807e-05
15 1.9389e-05
16 8.74087e-06
17 4.32617e-06
18 1.93554e-06
19 3.02635e-07
20 4.52275e-08
21 9.04727e-09
22 1.19915e-09
23 1.74395e-10
24 1.47377e-11
25 1.14009e-12
26 9.95432e-14
