VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 1
1 0.202945
2 0.0281884
3 0.00261689
4 0.000246981
5 1.17758e-05
6 5.47927e-07
7 2.78443e-08
8 1.24614e-09
9 5.5557e-11
10 2.07175e-12
11 6.91321e-14
