VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 0.127589
1 0.0308525
2 0.00871255
3 0.00276595
4 0.000956154
5 0.000348922
6 0.000131388
7 5.03581e-05
8 1.94997e-05
9 7.59812e-06
10 2.9728e-06
11 1.1665e-06
12 4.58722e-07
13 1.80704e-07
14 7.12872e-08
15 2.81572e-08
16 1.11336e-08
17 4.40653e-09
18 1.74555e-09
19 6.92006e-10
