VARIABLES="iterations", "scaled residual"
ZONE T=""
0 1
0 0.593005
1 0.0952083
2 0.0160251
3 0.00273531
4 0.000470255
5 8.11287e-05
6 1.40153e-05
7 2.42095e-06
8 4.17639e-07
9 7.18732e-08
10 1.23253e-08
11 2.10366e-09
12 3.56922e-10
