ZONE I=5, J=5
0 0 0.761594
0.1 0 0.53705
0.2 0 0.197375
0.3 0 -0.197375
0.4 0 -0.53705
0 0.0375 0.817754
0.1 0.0375 0.635149
0.2 0.0375 0.336376
0.3 0.0375 -0.0499584
0.4 0.0375 -0.421899
0 0.075 0.861723
0.1 0.075 0.716298
0.2 0.075 0.462117
0.3 0.075 0.099668
0.4 0.075 -0.291313
0 0.1125 0.895693
0.1 0.1125 0.781806
0.2 0.1125 0.57167
0.3 0.1125 0.244919
0.4 0.1125 -0.148885
0 0.15 0.921669
0.1 0.15 0.833655
0.2 0.15 0.664037
0.3 0.15 0.379949
0.4 0.15 0
ZONE I=5, J=5
0.4 0 -0.53705
0.5 0 -0.761594
0.6 0 -0.885352
0.7 0 -0.946806
0.8 0 -0.975743
0.4 0.0375 -0.421899
0.5 0.0375 -0.691069
0.6 0.0375 -0.848284
0.7 0.0375 -0.928858
0.8 0.0375 -0.967395
0.4 0.075 -0.291313
0.5 0.075 -0.604368
0.6 0.075 -0.800499
0.7 0.075 -0.905148
0.8 0.075 -0.956237
0.4 0.1125 -0.148885
0.5 0.1125 -0.50052
0.6 0.1125 -0.739783
0.7 0.1125 -0.874053
0.8 0.1125 -0.941376
0.4 0.15 0
0.5 0.15 -0.379949
0.6 0.15 -0.664037
0.7 0.15 -0.833655
0.8 0.15 -0.921669
ZONE I=5, J=5
0.8 0 -0.975743
0.9 0 -0.989027
1 0 -0.995055
1.1 0 -0.997775
1.2 0 -0.999
0.8 0.0375 -0.967395
0.9 0.0375 -0.985217
1 0.0375 -0.99333
1.1 0.0375 -0.996998
1.2 0.0375 -0.99865
0.8 0.075 -0.956237
0.9 0.075 -0.980096
1 0.075 -0.991007
1.1 0.075 -0.995949
1.2 0.075 -0.998178
0.8 0.1125 -0.941376
0.9 0.1125 -0.973226
1 0.1125 -0.98788
1.1 0.1125 -0.994536
1.2 0.1125 -0.997541
0.8 0.15 -0.921669
0.9 0.15 -0.964028
1 0.15 -0.983675
1.1 0.15 -0.992632
1.2 0.15 -0.996682
ZONE I=5, J=5
1.2 0 -0.999
1.3 0 -0.99955
1.4 0 -0.999798
1.5 0 -0.999909
1.6 0 -0.999959
1.2 0.0375 -0.99865
1.3 0.0375 -0.999393
1.4 0.0375 -0.999727
