ZONE I=5, J=5
0.9 0.9 0.761594
1 0.9 0.462117
1.1 0.9 -8.88178e-16
1.2 0.9 -0.462117
0.8 0.9375 0.933828
0.9 0.9375 0.829802
1 0.9375 0.596374
1.1 0.9375 0.185333
1.2 0.9375 -0.30271
0.8 0.975 0.954045
0.9 0.975 0.879827
1 0.975 0.703906
1.1 0.975 0.358357
1.2 0.975 -0.124353
0.8 1.0125 0.968187
0.9 1.0125 0.915825
1 1.0125 0.786619
1.1 1.0125 0.50983
1.2 1.0125 0.0624187
0.8 1.05 0.978026
0.9 1.05 0.941376
1 1.05 0.848284
1.1 1.05 0.635149
1.2 1.05 0.244919
ZONE I=5, J=5
1.2 0.9 -0.462117
1.3 0.9 -0.761594
1.4 0.9 -0.905148
1.5 0.9 -0.964028
1.6 0.9 -0.986614
1.2 0.9375 -0.30271
1.3 0.9375 -0.670967
1.4 0.9375 -0.864907
1.5 0.9375 -0.948085
1.6 0.9375 -0.980583
1.2 0.975 -0.124353
1.3 0.975 -0.5546
1.4 0.975 -0.809301
1.5 0.975 -0.925346
1.6 0.975 -0.971873
1.2 1.0125 0.0624187
1.3 1.0125 -0.41157
1.4 1.0125 -0.734072
1.5 1.0125 -0.893193
1.6 1.0125 -0.959335
1.2 1.05 0.244919
1.3 1.05 -0.244919
1.4 1.05 -0.635149
1.5 1.05 -0.848284
1.6 1.05 -0.941376
ZONE I=5, J=5
1.6 0.9 -0.986614
1.7 0.9 -0.995055
1.8 0.9 -0.998178
1.9 0.9 -0.999329
2 0.9 -0.999753
1.6 0.9375 -0.980583
1.7 0.9375 -0.992813
1.8 0.9375 -0.99735
1.9 0.9375 -0.999024
2 0.9375 -0.999641
1.6 0.975 -0.971873
1.7 0.975 -0.98956
1.8 0.975 -0.996147
1.9 0.975 -0.998581
2 0.975 -0.999478
1.6 1.0125 -0.959335
1.7 1.0125 -0.984846
1.8 1.0125 -0.994398
1.9 1.0125 -0.997936
2 1.0125 -0.99924
1.6 1.05 -0.941376
1.7 1.05 -0.978026
1.8 1.05 -0.99186
1.9 1.05 -0.996998
2 1.05 -0.998894
ZONE I=5, J=5
0 1.05 0.999993
0.1 1.05 0.99998
0.2 1.05 0.999945
0.3 1.05 0.99985
0.4 1.05 0.999593
0 1.0875 0.999995
0.1 1.0875 0.999986
0.2 1.0875 0.999962
0.3 1.0875 0.999897
0.4 1.0875 0.99972
0 1.125 0.999996
0.1 1.125 0.99999
0.2 1.125 0.999974
0.3 1.125 0.999929
0.4 1.125 0.999808
0 1.1625 0.999998
0.1 1.1625 0.999993
0.2 1.1625 0.999982
0.3 1.1625 0.999951
0.4 1.1625 0.999868
0 1.2 0.999998
0.1 1.2 0.999995
0.2 1.2 0.999988
0.3 1.2 0.999967
0.4 1.2 0.999909
ZONE I=5, J=5
0.4 1.05 0.999593
0.5 1.05 0.998894
0.6 1.05 0.996998
0.7 1.05 0.99186
0.8 1.05 0.978026
0.4 1.0875 0.99972
0.5 1.0875 0.99924
0.6 1.0875 0.997936
0.7 1.0875 0.994398
0.8 1.0875 0.984846
0.4 1.125 0.999808
0.5 1.125 0.999478
0.6 1.125 0.998581
0.7 1.125 0.996147
0.8 1.125 0.98956
0.4 1.1625 0.999868
0.5 1.1625 0.999641
0.6 1.1625 0.999024
0.7 1.1625 0.99735
0.8 1.1625 0.992813
0.4 1.2 0.999909
0.5 1.2 0.999753
0.6 1.2 0.999329
0.7 1.2 0.998178
0.8 1.2 0.995055
ZONE I=5, J=5
0.8 1.05 0.978026
0.9 1.05 0.941376
1 1.05 0.848284
1.1 1.05 0.635149
1.2 1.05 0.244919
0.8 1.0875 0.984846
0.9 1.0875 0.959335
1 1.0875 0.893193
1.1 1.0875 0.734072
1.2 1.0875 0.41157
0.8 1.125 0.98956
0.9 1.125 0.971873
1 1.125 0.925346
1.1 1.125 0.809301
1.2 1.125 0.5546
0.8 1.1625 0.992813
0.9 1.1625 0.980583
1 1.1625 0.948085
1.1 1.1625 0.864907
1.2 1.1625 0.670967
0.8 1.2 0.995055
0.9 1.2 0.986614
1 1.2 0.964028
1.1 1.2 0.905148
1.2 1.2 0.761594
ZONE I=5, J=5
1.2 1.05 0.244919
1.3 1.05 -0.244919
1.4 1.05 -0.635149
1.5 1.05 -0.848284
1.6 1.05 -0.941376
1.2 1.0875 0.41157
1.3 1.0875 -0.0624187
1.4 1.0875 -0.50983
1.5 1.0875 -0.786619
1.6 1.0875 -0.915825
1.2 1.125 0.5546
1.3 1.125 0.124353
1.4 1.125 -0.358357
1.5 1.125 -0.703906
1.6 1.125 -0.879827
1.2 1.1625 0.670967
1.3 1.1625 0.30271
1.4 1.1625 -0.185333
1.5 1.1625 -0.596374
1.6 1.1625 -0.829802
1.2 1.2 0.761594
1.3 1.2 0.462117
1.4 1.2 -8.88178e-16
1.5 1.2 -0.462117
1.6 1.2 -0.761594
ZONE I=5, J=5
1.6 1.05 -0.941376
1.7 1.05 -0.978026
1.8 1.05 -0.99186
1.9 1.05 -0.996998
2 1.05 -0.998894
1.6 1.0875 -0.915825
1.7 1.0875 -0.968187
1.8 1.0875 -0.988178
1.9 1.0875 -0.995635
2 1.0875 -0.998392
1.6 1.125 -0.879827
