ZONE I=5, J=5
0 0 0.761594
0.1 0 0.462117
0.2 0 0
0.3 0 -0.462117
0.4 0 -0.761594
0 0.0375 0.829802
0.1 0.0375 0.596374
0.2 0.0375 0.185333
0.3 0.0375 -0.30271
0.4 0.0375 -0.670967
0 0.075 0.879827
0.1 0.075 0.703906
0.2 0.075 0.358357
0.3 0.075 -0.124353
0.4 0.075 -0.5546
0 0.1125 0.915825
0.1 0.1125 0.786619
0.2 0.1125 0.50983
0.3 0.1125 0.0624187
0.4 0.1125 -0.41157
0 0.15 0.941376
0.1 0.15 0.848284
0.2 0.15 0.635149
0.3 0.15 0.244919
0.4 0.15 -0.244919
ZONE I=5, J=5
0.4 0 -0.761594
0.5 0 -0.905148
0.6 0 -0.964028
0.7 0 -0.986614
0.8 0 -0.995055
0.4 0.0375 -0.670967
0.5 0.0375 -0.864907
0.6 0.0375 -0.948085
0.7 0.0375 -0.980583
0.8 0.0375 -0.992813
0.4 0.075 -0.5546
0.5 0.075 -0.809301
0.6 0.075 -0.925346
0.7 0.075 -0.971873
0.8 0.075 -0.98956
0.4 0.1125 -0.41157
0.5 0.1125 -0.734072
0.6 0.1125 -0.893193
0.7 0.1125 -0.959335
0.8 0.1125 -0.984846
0.4 0.15 -0.244919
0.5 0.15 -0.635149
0.6 0.15 -0.848284
0.7 0.15 -0.941376
0.8 0.15 -0.978026
ZONE I=5, J=5
0.8 0 -0.995055
0.9 0 -0.998178
1 0 -0.999329
1.1 0 -0.999753
1.2 0 -0.999909
0.8 0.0375 -0.992813
0.9 0.0375 -0.99735
1 0.0375 -0.999024
1.1 0.0375 -0.999641
1.2 0.0375 -0.999868
0.8 0.075 -0.98956
0.9 0.075 -0.996147
1 0.075 -0.998581
1.1 0.075 -0.999478
1.2 0.075 -0.999808
0.8 0.1125 -0.984846
0.9 0.1125 -0.994398
1 0.1125 -0.997936
1.1 0.1125 -0.99924
1.2 0.1125 -0.99972
0.8 0.15 -0.978026
0.9 0.15 -0.99186
1 0.15 -0.996998
1.1 0.15 -0.998894
1.2 0.15 -0.999593
ZONE I=5, J=5
1.2 0 -0.999909
1.3 0 -0.999967
1.4 0 -0.999988
1.5 0 -0.999995
1.6 0 -0.999998
1.2 0.0375 -0.999868
1.3 0.0375 -0.999951
1.4 0.0375 -0.999982
1.5 0.0375 -0.999993
1.6 0.0375 -0.999998
1.2 0.075 -0.999808
1.3 0.075 -0.999929
1.4 0.075 -0.999974
1.5 0.075 -0.99999
1.6 0.075 -0.999996
1.2 0.1125 -0.99972
1.3 0.1125 -0.999897
1.4 0.1125 -0.999962
1.5 0.1125 -0.999986
1.6 0.1125 -0.999995
1.2 0.15 -0.999593
1.3 0.15 -0.99985
1.4 0.15 -0.999945
1.5 0.15 -0.99998
1.6 0.15 -0.999993
ZONE I=5, J=5
1.6 0 -0.999998
1.7 0 -0.999999
1.8 0 -1
1.9 0 -1
2 0 -1
1.6 0.0375 -0.999998
1.7 0.0375 -0.999999
1.8 0.0375 -1
1.9 0.0375 -1
2 0.0375 -1
1.6 0.075 -0.999996
1.7 0.075 -0.999999
1.8 0.075 -1
1.9 0.075 -1
2 0.075 -1
1.6 0.1125 -0.999995
1.7 0.1125 -0.999998
1.8 0.1125 -0.999999
1.9 0.1125 -1
2 0.1125 -1
1.6 0.15 -0.999993
1.7 0.15 -0.999997
1.8 0.15 -0.999999
1.9 0.15 -1
2 0.15 -1
ZONE I=5, J=5
0 0.15 0.941376
0.1 0.15 0.848284
0.2 0.15 0.635149
0.3 0.15 0.244919
0.4 0.15 -0.244919
0 0.1875 0.959335
0.1 0.1875 0.893193
0.2 0.1875 0.734072
0.3 0.1875 0.41157
0.4 0.1875 -0.0624187
0 0.225 0.971873
0.1 0.225 0.925346
0.2 0.225 0.809301
0.3 0.225 0.5546
0.4 0.225 0.124353
0 0.2625 0.980583
0.1 0.2625 0.948085
0.2 0.2625 0.864907
0.3 0.2625 0.670967
0.4 0.2625 0.30271
0 0.3 0.986614
0.1 0.3 0.964028
0.2 0.3 0.905148
0.3 0.3 0.761594
0.4 0.3 0.462117
ZONE I=5, J=5
0.4 0.15 -0.244919
0.5 0.15 -0.635149
0.6 0.15 -0.848284
0.7 0.15 -0.941376
0.8 0.15 -0.978026
0.4 0.1875 -0.0624187
0.5 0.1875 -0.50983
0.6 0.1875 -0.786619
0.7 0.1875 -0.915825
0.8 0.1875 -0.968187
0.4 0.225 0.124353
0.5 0.225 -0.358357
0.6 0.225 -0.703906
0.7 0.225 -0.879827
0.8 0.225 -0.954045
0.4 0.2625 0.30271
0.5 0.2625 -0.185333
0.6 0.2625 -0.596374
0.7 0.2625 -0.829802
0.8 0.2625 -0.933828
0.4 0.3 0.462117
0.5 0.3 -6.66134e-16
0.6 0.3 -0.462117
0.7 0.3 -0.761594
0.8 0.3 -0.905148
ZONE I=5, J=5
0.8 0.15 -0.978026
0.9 0.15 -0.99186
1 0.15 -0.996998
1.1 0.15 -0.998894
1.2 0.15 -0.999593
0.8 0.1875 -0.968187
0.9 0.1875 -0.988178
1 0.1875 -0.995635
1.1 0.1875 -0.998392
1.2 0.1875 -0.999408
0.8 0.225 -0.954045
0.9 0.225 -0.982845
1 0.225 -0.993655
1.1 0.225 -0.997661
1.2 0.225 -0.999139
0.8 0.2625 -0.933828
0.9 0.2625 -0.975137
1 0.2625 -0.990781
1.1 0.2625 -0.996599
1.2 0.2625 -0.998747
0.8 0.3 -0.905148
0.9 0.3 -0.964028
1 0.3 -0.986614
1.1 0.3 -0.995055
1.2 0.3 -0.998178
ZONE I=5, J=5
1.2 0.15 -0.999593
1.3 0.15 -0.99985
1.4 0.15 -0.999945
1.5 0.15 -0.99998
1.6 0.15 -0.999993
1.2 0.1875 -0.999408
1.3 0.1875 -0.999782
1.4 0.1875 -0.99992
1.5 0.1875 -0.999971
1.6 0.1875 -0.999989
1.2 0.225 -0.999139
1.3 0.225 -0.999683
1.4 0.225 -0.999883
1.5 0.225 -0.999957
1.6 0.225 -0.999984
1.2 0.2625 -0.998747
1.3 0.2625 -0.999539
1.4 0.2625 -0.99983
1.5 0.2625 -0.999938
1.6 0.2625 -0.999977
1.2 0.3 -0.998178
1.3 0.3 -0.999329
1.4 0.3 -0.999753
1.5 0.3 -0.999909
1.6 0.3 -0.999967
ZONE I=5, J=5
1.6 0.15 -0.999993
1.7 0.15 -0.999997
1.8 0.15 -0.999999
1.9 0.15 -1
2 0.15 -1
1.6 0.1875 -0.999989
1.7 0.1875 -0.999996
1.8 0.1875 -0.999999
1.9 0.1875 -0.999999
2 0.1875 -1
1.6 0.225 -0.999984
1.7 0.225 -0.999994
1.8 0.225 -0.999998
1.9 0.225 -0.999999
2 0.225 -1
1.6 0.2625 -0.999977
1.7 0.2625 -0.999992
1.8 0.2625 -0.999997
1.9 0.2625 -0.999999
2 0.2625 -1
1.6 0.3 -0.999967
1.7 0.3 -0.999988
1.8 0.3 -0.999995
1.9 0.3 -0.999998
2 0.3 -0.999999
ZONE I=5, J=5
0 0.3 0.986614
0.1 0.3 0.964028
0.2 0.3 0.905148
0.3 0.3 0.761594
0.4 0.3 0.462117
0 0.3375 0.990781
0.1 0.3375 0.975137
0.2 0.3375 0.933828
0.3 0.3375 0.829802
0.4 0.3375 0.596374
0 0.375 0.993655
0.1 0.375 0.982845
0.2 0.375 0.954045
0.3 0.375 0.879827
0.4 0.375 0.703906
0 0.4125 0.995635
0.1 0.4125 0.988178
0.2 0.4125 0.968187
0.3 0.4125 0.915825
0.4 0.4125 0.786619
0 0.45 0.996998
0.1 0.45 0.99186
0.2 0.45 0.978026
0.3 0.45 0.941376
0.4 0.45 0.848284
ZONE I=5, J=5
0.4 0.3 0.462117
0.5 0.3 -6.66134e-16
0.6 0.3 -0.462117
0.7 0.3 -0.761594
0.8 0.3 -0.905148
0.4 0.3375 0.596374
0.5 0.3375 0.185333
0.6 0.3375 -0.30271
0.7 0.3375 -0.670967
0.8 0.3375 -0.864907
0.4 0.375 0.703906
0.5 0.375 0.358357
0.6 0.375 -0.124353
0.7 0.375 -0.5546
0.8 0.375 -0.809301
0.4 0.4125 0.786619
0.5 0.4125 0.50983
0.6 0.4125 0.0624187
0.7 0.4125 -0.41157
0.8 0.4125 -0.734072
0.4 0.45 0.848284
0.5 0.45 0.635149
0.6 0.45 0.244919
0.7 0.45 -0.244919
0.8 0.45 -0.635149
ZONE I=5, J=5
0.8 0.3 -0.905148
0.9 0.3 -0.964028
1 0.3 -0.986614
1.1 0.3 -0.995055
1.2 0.3 -0.998178
0.8 0.3375 -0.864907
0.9 0.3375 -0.948085
1 0.3375 -0.980583
1.1 0.3375 -0.992813
1.2 0.3375 -0.99735
0.8 0.375 -0.809301
0.9 0.375 -0.925346
1 0.375 -0.971873
1.1 0.375 -0.98956
1.2 0.375 -0.996147
0.8 0.4125 -0.734072
0.9 0.4125 -0.893193
1 0.4125 -0.959335
1.1 0.4125 -0.984846
1.2 0.4125 -0.994398
0.8 0.45 -0.635149
0.9 0.45 -0.848284
1 0.45 -0.941376
1.1 0.45 -0.978026
1.2 0.45 -0.99186
ZONE I=5, J=5
1.2 0.3 -0.998178
1.3 0.3 -0.999329
1.4 0.3 -0.999753
1.5 0.3 -0.999909
1.6 0.3 -0.999967
1.2 0.3375 -0.99735
1.3 0.3375 -0.999024
1.4 0.3375 -0.999641
1.5 0.3375 -0.999868
1.6 0.3375 -0.999951
1.2 0.375 -0.996147
1.3 0.375 -0.998581
1.4 0.375 -0.999478
1.5 0.375 -0.999808
1.6 0.375 -0.999929
1.2 0.4125 -0.994398
1.3 0.4125 -0.997936
1.4 0.4125 -0.99924
1.5 0.4125 -0.99972
1.6 0.4125 -0.999897
1.2 0.45 -0.99186
1.3 0.45 -0.996998
1.4 0.45 -0.998894
1.5 0.45 -0.999593
1.6 0.45 -0.99985
ZONE I=5, J=5
1.6 0.3 -0.999967
1.7 0.3 -0.999988
1.8 0.3 -0.999995
1.9 0.3 -0.999998
2 0.3 -0.999999
1.6 0.3375 -0.999951
1.7 0.3375 -0.999982
1.8 0.3375 -0.999993
1.9 0.3375 -0.999998
2 0.3375 -0.999999
1.6 0.375 -0.999929
1.7 0.375 -0.999974
1.8 0.375 -0.99999
1.9 0.375 -0.999996
2 0.375 -0.999999
1.6 0.4125 -0.999897
1.7 0.4125 -0.999962
1.8 0.4125 -0.999986
1.9 0.4125 -0.999995
2 0.4125 -0.999998
1.6 0.45 -0.99985
1.7 0.45 -0.999945
1.8 0.45 -0.99998
1.9 0.45 -0.999993
2 0.45 -0.999997
ZONE I=5, J=5
0 0.45 0.996998
0.1 0.45 0.99186
0.2 0.45 0.978026
0.3 0.45 0.941376
0.4 0.45 0.848284
0 0.4875 0.997936
0.1 0.4875 0.994398
0.2 0.4875 0.984846
0.3 0.4875 0.959335
0.4 0.4875 0.893193
0 0.525 0.998581
0.1 0.525 0.996147
0.2 0.525 0.98956
0.3 0.525 0.971873
0.4 0.525 0.925346
0 0.5625 0.999024
0.1 0.5625 0.99735
0.2 0.5625 0.992813
0.3 0.5625 0.980583
0.4 0.5625 0.948085
0 0.6 0.999329
0.1 0.6 0.998178
0.2 0.6 0.995055
0.3 0.6 0.986614
0.4 0.6 0.964028
ZONE I=5, J=5
0.4 0.45 0.848284
0.5 0.45 0.635149
0.6 0.45 0.244919
0.7 0.45 -0.244919
0.8 0.45 -0.635149
0.4 0.4875 0.893193
0.5 0.4875 0.734072
0.6 0.4875 0.41157
0.7 0.4875 -0.0624187
0.8 0.4875 -0.50983
0.4 0.525 0.925346
0.5 0.525 0.809301
0.6 0.525 0.5546
0.7 0.525 0.124353
0.8 0.525 -0.358357
0.4 0.5625 0.948085
0.5 0.5625 0.864907
0.6 0.5625 0.670967
0.7 0.5625 0.30271
0.8 0.5625 -0.185333
0.4 0.6 0.964028
0.5 0.6 0.905148
0.6 0.6 0.761594
0.7 0.6 0.462117
0.8 0.6 -4.44089e-16
ZONE I=5, J=5
0.8 0.45 -0.635149
0.9 0.45 -0.848284
1 0.45 -0.941376
1.1 0.45 -0.978026
1.2 0.45 -0.99186
0.8 0.4875 -0.50983
0.9 0.4875 -0.786619
1 0.4875 -0.915825
1.1 0.4875 -0.968187
1.2 0.4875 -0.988178
0.8 0.525 -0.358357
0.9 0.525 -0.703906
1 0.525 -0.879827
1.1 0.525 -0.954045
1.2 0.525 -0.982845
0.8 0.5625 -0.185333
0.9 0.5625 -0.596374
1 0.5625 -0.829802
1.1 0.5625 -0.933828
1.2 0.5625 -0.975137
0.8 0.6 -4.44089e-16
0.9 0.6 -0.462117
1 0.6 -0.761594
1.1 0.6 -0.905148
1.2 0.6 -0.964028
ZONE I=5, J=5
1.2 0.45 -0.99186
1.3 0.45 -0.996998
1.4 0.45 -0.998894
1.5 0.45 -0.999593
1.6 0.45 -0.99985
1.2 0.4875 -0.988178
1.3 0.4875 -0.995635
1.4 0.4875 -0.998392
1.5 0.4875 -0.999408
1.6 0.4875 -0.999782
1.2 0.525 -0.982845
1.3 0.525 -0.993655
1.4 0.525 -0.997661
1.5 0.525 -0.999139
1.6 0.525 -0.999683
1.2 0.5625 -0.975137
1.3 0.5625 -0.990781
1.4 0.5625 -0.996599
1.5 0.5625 -0.998747
1.6 0.5625 -0.999539
1.2 0.6 -0.964028
1.3 0.6 -0.986614
1.4 0.6 -0.995055
1.5 0.6 -0.998178
1.6 0.6 -0.999329
ZONE I=5, J=5
1.6 0.45 -0.99985
1.7 0.45 -0.999945
1.8 0.45 -0.99998
1.9 0.45 -0.999993
2 0.45 -0.999997
1.6 0.4875 -0.999782
1.7 0.4875 -0.99992
1.8 0.4875 -0.999971
1.9 0.4875 -0.999989
2 0.4875 -0.999996
1.6 0.525 -0.999683
1.7 0.525 -0.999883
1.8 0.525 -0.999957
1.9 0.525 -0.999984
2 0.525 -0.999994
1.6 0.5625 -0.999539
1.7 0.5625 -0.99983
1.8 0.5625 -0.999938
1.9 0.5625 -0.999977
2 0.5625 -0.999992
1.6 0.6 -0.999329
1.7 0.6 -0.999753
1.8 0.6 -0.999909
1.9 0.6 -0.999967
2 0.6 -0.999988
ZONE I=5, J=5
0 0.6 0.999329
0.1 0.6 0.998178
0.2 0.6 0.995055
0.3 0.6 0.986614
0.4 0.6 0.964028
0 0.6375 0.999539
0.1 0.6375 0.998747
0.2 0.6375 0.996599
0.3 0.6375 0.990781
0.4 0.6375 0.975137
0 0.675 0.999683
0.1 0.675 0.999139
0.2 0.675 0.997661
0.3 0.675 0.993655
0.4 0.675 0.982845
0 0.7125 0.999782
0.1 0.7125 0.999408
0.2 0.7125 0.998392
0.3 0.7125 0.995635
0.4 0.7125 0.988178
0 0.75 0.99985
0.1 0.75 0.999593
0.2 0.75 0.998894
0.3 0.75 0.996998
0.4 0.75 0.99186
ZONE I=5, J=5
0.4 0.6 0.964028
0.5 0.6 0.905148
0.6 0.6 0.761594
0.7 0.6 0.462117
0.8 0.6 -4.44089e-16
0.4 0.6375 0.975137
0.5 0.6375 0.933828
0.6 0.6375 0.829802
0.7 0.6375 0.596374
0.8 0.6375 0.185333
0.4 0.675 0.982845
0.5 0.675 0.954045
0.6 0.675 0.879827
0.7 0.675 0.703906
0.8 0.675 0.358357
0.4 0.7125 0.988178
0.5 0.7125 0.968187
0.6 0.7125 0.915825
0.7 0.7125 0.786619
0.8 0.7125 0.50983
0.4 0.75 0.99186
0.5 0.75 0.978026
0.6 0.75 0.941376
0.7 0.75 0.848284
0.8 0.75 0.635149
ZONE I=5, J=5
0.8 0.6 -4.44089e-16
0.9 0.6 -0.462117
1 0.6 -0.761594
1.1 0.6 -0.905148
1.2 0.6 -0.964028
0.8 0.6375 0.185333
0.9 0.6375 -0.30271
1 0.6375 -0.670967
1.1 0.6375 -0.864907
1.2 0.6375 -0.948085
0.8 0.675 0.358357
0.9 0.675 -0.124353
1 0.675 -0.5546
1.1 0.675 -0.809301
1.2 0.675 -0.925346
0.8 0.7125 0.50983
0.9 0.7125 0.0624187
1 0.7125 -0.41157
1.1 0.7125 -0.734072
1.2 0.7125 -0.893193
0.8 0.75 0.635149
0.9 0.75 0.244919
1 0.75 -0.244919
1.1 0.75 -0.635149
1.2 0.75 -0.848284
ZONE I=5, J=5
1.2 0.6 -0.964028
1.3 0.6 -0.986614
1.4 0.6 -0.995055
1.5 0.6 -0.998178
1.6 0.6 -0.999329
1.2 0.6375 -0.948085
1.3 0.6375 -0.980583
1.4 0.6375 -0.992813
1.5 0.6375 -0.99735
1.6 0.6375 -0.999024
1.2 0.675 -0.925346
1.3 0.675 -0.971873
1.4 0.675 -0.98956
1.5 0.675 -0.996147
1.6 0.675 -0.998581
1.2 0.7125 -0.893193
1.3 0.7125 -0.959335
1.4 0.7125 -0.984846
1.5 0.7125 -0.994398
1.6 0.7125 -0.997936
1.2 0.75 -0.848284
1.3 0.75 -0.941376
1.4 0.75 -0.978026
1.5 0.75 -0.99186
1.6 0.75 -0.996998
ZONE I=5, J=5
1.6 0.6 -0.999329
1.7 0.6 -0.999753
1.8 0.6 -0.999909
1.9 0.6 -0.999967
2 0.6 -0.999988
1.6 0.6375 -0.999024
1.7 0.6375 -0.999641
1.8 0.6375 -0.999868
1.9 0.6375 -0.999951
2 0.6375 -0.999982
1.6 0.675 -0.998581
1.7 0.675 -0.999478
1.8 0.675 -0.999808
1.9 0.675 -0.999929
2 0.675 -0.999974
1.6 0.7125 -0.997936
1.7 0.7125 -0.99924
1.8 0.7125 -0.99972
1.9 0.7125 -0.999897
2 0.7125 -0.999962
1.6 0.75 -0.996998
1.7 0.75 -0.998894
1.8 0.75 -0.999593
1.9 0.75 -0.99985
2 0.75 -0.999945
ZONE I=5, J=5
0 0.75 0.99985
0.1 0.75 0.999593
0.2 0.75 0.998894
0.3 0.75 0.996998
0.4 0.75 0.99186
0 0.7875 0.999897
0.1 0.7875 0.99972
0.2 0.7875 0.99924
0.3 0.7875 0.997936
0.4 0.7875 0.994398
0 0.825 0.999929
0.1 0.825 0.999808
0.2 0.825 0.999478
0.3 0.825 0.998581
0.4 0.825 0.996147
0 0.8625 0.999951
0.1 0.8625 0.999868
0.2 0.8625 0.999641
0.3 0.8625 0.999024
0.4 0.8625 0.99735
0 0.9 0.999967
0.1 0.9 0.999909
0.2 0.9 0.999753
0.3 0.9 0.999329
0.4 0.9 0.998178
ZONE I=5, J=5
0.4 0.75 0.99186
0.5 0.75 0.978026
0.6 0.75 0.941376
0.7 0.75 0.848284
0.8 0.75 0.635149
0.4 0.7875 0.994398
0.5 0.7875 0.984846
0.6 0.7875 0.959335
0.7 0.7875 0.893193
0.8 0.7875 0.734072
0.4 0.825 0.996147
0.5 0.825 0.98956
0.6 0.825 0.971873
0.7 0.825 0.925346
0.8 0.825 0.809301
0.4 0.8625 0.99735
0.5 0.8625 0.992813
0.6 0.8625 0.980583
0.7 0.8625 0.948085
0.8 0.8625 0.864907
0.4 0.9 0.998178
0.5 0.9 0.995055
0.6 0.9 0.986614
0.7 0.9 0.964028
0.8 0.9 0.905148
ZONE I=5, J=5
0.8 0.75 0.635149
0.9 0.75 0.244919
1 0.75 -0.244919
1.1 0.75 -0.635149
1.2 0.75 -0.848284
0.8 0.7875 0.734072
0.9 0.7875 0.41157
1 0.7875 -0.0624187
1.1 0.7875 -0.50983
1.2 0.7875 -0.786619
0.8 0.825 0.809301
0.9 0.825 0.5546
1 0.825 0.124353
1.1 0.825 -0.358357
1.2 0.825 -0.703906
0.8 0.8625 0.864907
0.9 0.8625 0.670967
1 0.8625 0.30271
1.1 0.8625 -0.185333
1.2 0.8625 -0.596374
0.8 0.9 0.905148
0.9 0.9 0.761594
1 0.9 0.462117
1.1 0.9 -8.88178e-16
1.2 0.9 -0.462117
ZONE I=5, J=5
1.2 0.75 -0.848284
1.3 0.75 -0.941376
1.4 0.75 -0.978026
1.5 0.75 -0.99186
1.6 0.75 -0.996998
1.2 0.7875 -0.786619
1.3 0.7875 -0.915825
1.4 0.7875 -0.968187
1.5 0.7875 -0.988178
1.6 0.7875 -0.995635
1.2 0.825 -0.703906
1.3 0.825 -0.879827
1.4 0.825 -0.954045
1.5 0.825 -0.982845
1.6 0.825 -0.993655
1.2 0.8625 -0.596374
1.3 0.8625 -0.829802
1.4 0.8625 -0.933828
1.5 0.8625 -0.975137
1.6 0.8625 -0.990781
1.2 0.9 -0.462117
1.3 0.9 -0.761594
1.4 0.9 -0.905148
1.5 0.9 -0.964028
1.6 0.9 -0.986614
ZONE I=5, J=5
1.6 0.75 -0.996998
1.7 0.75 -0.998894
1.8 0.75 -0.999593
1.9 0.75 -0.99985
2 0.75 -0.999945
1.6 0.7875 -0.995635
1.7 0.7875 -0.998392
1.8 0.7875 -0.999408
1.9 0.7875 -0.999782
2 0.7875 -0.99992
1.6 0.825 -0.993655
1.7 0.825 -0.997661
1.8 0.825 -0.999139
1.9 0.825 -0.999683
2 0.825 -0.999883
1.6 0.8625 -0.990781
1.7 0.8625 -0.996599
1.8 0.8625 -0.998747
1.9 0.8625 -0.999539
2 0.8625 -0.99983
1.6 0.9 -0.986614
1.7 0.9 -0.995055
1.8 0.9 -0.998178
1.9 0.9 -0.999329
2 0.9 -0.999753
ZONE I=5, J=5
0 0.9 0.999967
0.1 0.9 0.999909
0.2 0.9 0.999753
0.3 0.9 0.999329
0.4 0.9 0.998178
0 0.9375 0.999977
0.1 0.9375 0.999938
0.2 0.9375 0.99983
0.3 0.9375 0.999539
0.4 0.9375 0.998747
0 0.975 0.999984
0.1 0.975 0.999957
0.2 0.975 0.999883
0.3 0.975 0.999683
0.4 0.975 0.999139
0 1.0125 0.999989
0.1 1.0125 0.999971
0.2 1.0125 0.99992
0.3 1.0125 0.999782
0.4 1.0125 0.999408
0 1.05 0.999993
0.1 1.05 0.99998
0.2 1.05 0.999945
0.3 1.05 0.99985
0.4 1.05 0.999593
ZONE I=5, J=5
0.4 0.9 0.998178
0.5 0.9 0.995055
0.6 0.9 0.986614
0.7 0.9 0.964028
0.8 0.9 0.905148
0.4 0.9375 0.998747
0.5 0.9375 0.996599
0.6 0.9375 0.990781
0.7 0.9375 0.975137
0.8 0.9375 0.933828
0.4 0.975 0.999139
0.5 0.975 0.997661
0.6 0.975 0.993655
0.7 0.975 0.982845
0.8 0.975 0.954045
0.4 1.0125 0.999408
0.5 1.0125 0.998392
0.6 1.0125 0.995635
0.7 1.0125 0.988178
0.8 1.0125 0.968187
0.4 1.05 0.999593
0.5 1.05 0.998894
0.6 1.05 0.996998
0.7 1.05 0.99186
0.8 1.05 0.978026
ZONE I=5, J=5
0.8 0.9 0.905148
