1396 # number of quadratic nodes on outer solid boundary
685 # number of facets on outer solid boundary
233.45 148.705 22.4822 0
232.239 146.373 27.8599 1
233.724 143.736 23.9009 2
227.386 158.514 30.9967 3
228.028 153.344 31.0562 4
231.474 156.457 28.017 5
224.666 183.814 29.2693 6
218.546 183.483 27.5437 8
220.105 105.256 30.5989 9
218.073 104.745 26.9819 11
215.275 123.851 22.4169 12
213.425 126.035 24.2024 13
216.01 126.254 21.678 14
236.576 106.794 31.7408 15
233.159 106.163 31.1531 16
236.001 130.937 26.7495 18
236.006 132.66 23.578 19
234.89 133.778 26.8613 20
239.451 107.15 30.1918 22
212.662 125.698 27.7872 23
213.831 127.529 29.6026 24
213.023 128.442 26.7562 25
214.592 130.34 29.7854 26
230.294 115.14 29.272 27
228.842 117.042 27.0856 28
229.06 114.359 25.8624 29
231.548 182.975 17.1959 30
232.409 179.188 20.1244 31
229.958 178.478 15.1042 32
231.892 174.789 18.0887 33
230.8 121.313 29.8949 34
228.74 119.686 27.6681 35
231.266 118.336 30.1611 36
232.951 131.36 29.4392 37
232.33 141.77 28.2551 38
236.965 127.932 26.3589 39
236.759 129.533 23.2584 40
215.119 119.876 32.9262 41
214.869 122.678 32.1345 42
212.659 120.651 30.676 43
231.929 131.386 18.6224 44
234.306 133.872 20.4804 45
234.935 130.668 20.612 46
229.073 116.543 23.6542 47
229.653 119.244 21.8088 48
231.419 116.535 21.0454 49
231.869 151.303 27.7284 50
232.14 183.446 22.5833 51
228.876 122.099 21.7618 52
227.962 120.766 24.6506 53
227.379 123.347 24.6457 54
223.548 130.572 29.1954 55
222.929 128.294 28.6851 56
223.588 129.392 26.781 57
224.51 168.77 30.6249 58
221.2 163.869 30.4252 59
226.47 163.358 30.8417 60
211.319 116.188 30.0019 61
211.014 113.609 30.8717 62
212.686 115.558 32.7667 63
235.18 135.7 23.8788 64
230.981 105.582 28.6879 65
232.231 162.306 19.0795 66
231.9 157.327 18.3871 67
228.56 160.484 15.2018 68
227.183 182.478 12.9637 69
212.73 118.144 31.8425 70
224.585 177.826 12.6772 71
215.181 117.142 33.671 72
