0 -0
0.0322581 -0.231299
0.0645161 -0.457125
0.0967742 -0.672176
0.129032 -0.871486
0.16129 -1.05058
0.193548 -1.2056
0.225806 -1.33346
0.258065 -1.43191
0.290323 -1.4996
0.322581 -1.53616
0.354839 -1.54219
0.387097 -1.51921
0.419355 -1.46968
0.451613 -1.39687
0.483871 -1.30477
0.516129 -1.19799
0.548387 -1.08156
0.580645 -0.960856
0.612903 -0.841356
0.645161 -0.728511
0.677419 -0.627565
0.709677 -0.543389
0.741935 -0.480333
0.774194 -0.44209
0.806452 -0.43158
0.83871 -0.450858
0.870968 -0.501054
0.903226 -0.582334
0.935484 -0.693896
0.967742 -0.833996
