
0 0 0.761594 0 1 
0.0625 0 0.756295 0 0.930508 
0.125 0 0.750893 0 0.731689 
0.1875 0 0.745389 0 0.431177 
0.25 0 0.739783 0 0.0707372 
0 0.125 0.77189 0.681639 1 
0.0625 0.125 0.766786 0.681639 0.930508 
0.125 0.125 0.761582 0.681639 0.731689 
0.1875 0.125 0.756278 0.681639 0.431177 
0.25 0.125 0.750874 0.681639 0.0707372 
0 0.25 0.781806 0.997495 1 
0.0625 0.25 0.776897 0.997495 0.930508 
0.125 0.25 0.77189 0.997495 0.731689 
0.1875 0.25 0.766784 0.997495 0.431177 
0.25 0.25 0.761579 0.997495 0.0707372 
0 0.375 0.791343 0.778073 1 
0.0625 0.375 0.786629 0.778073 0.930508 
0.125 0.375 0.781817 0.778073 0.731689 
0.1875 0.375 0.776906 0.778073 0.431177 
0.25 0.375 0.771897 0.778073 0.0707372 
0 0.5 0.800499 0.14112 1 
0.0625 0.5 0.795981 0.14112 0.930508 
0.125 0.5 0.791363 0.14112 0.731689 
0.1875 0.5 0.786645 0.14112 0.431177 
0.25 0.5 0.781828 0.14112 0.0707372 

0.25 0 0.739783 0 0.0707372 
0.3125 0 0.734072 0 -0.299534 
0.375 0 0.728254 0 -0.628174 
0.4375 0 0.722329 0 -0.869507 
0.5 0 0.716298 0 -0.989992 
0.25 0.125 0.750874 0.681639 0.0707372 
0.3125 0.125 0.745378 0.681639 -0.299534 
0.375 0.125 0.739775 0.681639 -0.628174 
0.4375 0.125 0.734064 0.681639 -0.869507 
0.5 0.125 0.728246 0.681639 -0.989992 
0.25 0.25 0.761579 0.997495 0.0707372 
0.3125 0.25 0.756286 0.997495 -0.299534 
0.375 0.25 0.750887 0.997495 -0.628174 
0.4375 0.25 0.745381 0.997495 -0.869507 
0.5 0.25 0.739768 0.997495 -0.989992 
0.25 0.375 0.771897 0.778073 0.0707372 
0.3125 0.375 0.766795 0.778073 -0.299534 
0.375 0.375 0.761589 0.778073 -0.628174 
0.4375 0.375 0.756279 0.778073 -0.869507 
0.5 0.375 0.750865 0.778073 -0.989992 
0.25 0.5 0.781828 0.14112 0.0707372 
0.3125 0.5 0.776905 0.14112 -0.299534 
0.375 0.5 0.771882 0.14112 -0.628174 
0.4375 0.5 0.766759 0.14112 -0.869507 
0.5 0.5 0.761535 0.14112 -0.989992 

0.5 0 0.716298 0 -0.989992 
0.5625 0 0.710157 0 -0.972884 
0.625 0 0.703906 0 -0.820559 
0.6875 0 0.697543 0 -0.55419 
0.75 0 0.691069 0 -0.210796 
0.5 0.125 0.728246 0.681639 -0.989992 
0.5625 0.125 0.722318 0.681639 -0.972884 
0.625 0.125 0.716279 0.681639 -0.820559 
0.6875 0.125 0.71013 0.681639 -0.55419 
0.75 0.125 0.703871 0.681639 -0.210796 
0.5 0.25 0.739768 0.997495 -0.989992 
0.5625 0.25 0.734048 0.997495 -0.972884 
0.625 0.25 0.728221 0.997495 -0.820559 
0.6875 0.25 0.722287 0.997495 -0.55419 
0.75 0.25 0.716246 0.997495 -0.210796 
0.5 0.375 0.750865 0.778073 -0.989992 
0.5625 0.375 0.745347 0.778073 -0.972884 
0.625 0.375 0.73973 0.778073 -0.820559 
0.6875 0.375 0.734012 0.778073 -0.55419 
0.75 0.375 0.728194 0.778073 -0.210796 
0.5 0.5 0.761535 0.14112 -0.989992 
0.5625 0.5 0.756216 0.14112 -0.972884 
0.625 0.5 0.750807 0.14112 -0.820559 
0.6875 0.5 0.745307 0.14112 -0.55419 
0.75 0.5 0.739715 0.14112 -0.210796 

0.75 0 0.691069 0 -0.210796 
0.8125 0 0.684483 0 0.161895 
0.875 0 0.677782 0 0.512085 
0.9375 0 0.670967 0 0.791104 
1 0 0.664037 0 0.96017 
0.75 0.125 0.703871 0.681639 -0.210796 
0.8125 0.125 0.697513 0.681639 0.161895 
0.875 0.125 0.691042 0.681639 0.512085 
0.9375 0.125 0.684458 0.681639 0.791104 
1 0.125 0.677762 0.681639 0.96017 
0.75 0.25 0.716246 0.997495 -0.210796 
0.8125 0.25 0.710109 0.997495 0.161895 
0.875 0.25 0.703863 0.997495 0.512085 
0.9375 0.25 0.697506 0.997495 0.791104 
1 0.25 0.691038 0.997495 0.96017 
0.75 0.375 0.728194 0.778073 -0.210796 
0.8125 0.375 0.722272 0.778073 0.161895 
0.875 0.375 0.716243 0.778073 0.512085 
0.9375 0.375 0.710108 0.778073 0.791104 
1 0.375 0.703866 0.778073 0.96017 
0.75 0.5 0.739715 0.14112 -0.210796 
0.8125 0.5 0.734001 0.14112 0.161895 
0.875 0.5 0.728185 0.14112 0.512085 
0.9375 0.5 0.722266 0.14112 0.791104 
1 0.5 0.716246 0.14112 0.96017 

0 0.5 0.800499 0.14112 1 
0.0625 0.5 0.795981 0.14112 0.930508 
0.125 0.5 0.791363 0.14112 0.731689 
0.1875 0.5 0.786645 0.14112 0.431177 
0.25 0.5 0.781828 0.14112 0.0707372 
0 0.625 0.809296 -0.571561 1 
0.0625 0.625 0.804945 -0.571561 0.930508 
0.125 0.625 0.8005 -0.571561 0.731689 
0.1875 0.625 0.795962 -0.571561 0.431177 
0.25 0.625 0.791329 -0.571561 0.0707372 
0 0.75 0.817754 -0.97753 1 
0.0625 0.75 0.813567 -0.97753 0.930508 
0.125 0.75 0.809293 -0.97753 0.731689 
0.1875 0.75 0.804932 -0.97753 0.431177 
0.25 0.75 0.800484 -0.97753 0.0707372 
0 0.875 0.825874 -0.858934 1 
0.0625 0.875 0.821847 -0.858934 0.930508 
0.125 0.875 0.817741 -0.858934 0.731689 
0.1875 0.875 0.813557 -0.858934 0.431177 
0.25 0.875 0.809294 -0.858934 0.0707372 
0 1 0.833655 -0.279415 1 
0.0625 1 0.829783 -0.279415 0.930508 
0.125 1 0.825844 -0.279415 0.731689 
0.1875 1 0.821836 -0.279415 0.431177 
0.25 1 0.817759 -0.279415 0.0707372 

0.25 0.5 0.781828 0.14112 0.0707372 
0.3125 0.5 0.776905 0.14112 -0.299534 
0.375 0.5 0.771882 0.14112 -0.628174 
0.4375 0.5 0.766759 0.14112 -0.869507 
0.5 0.5 0.761535 0.14112 -0.989992 
0.25 0.625 0.791329 -0.571561 0.0707372 
0.3125 0.625 0.786607 -0.571561 -0.299534 
0.375 0.625 0.781787 -0.571561 -0.628174 
0.4375 0.625 0.77687 -0.571561 -0.869507 
0.5 0.625 0.771856 -0.571561 -0.989992 
0.25 0.75 0.800484 -0.97753 0.0707372 
0.3125 0.75 0.79595 -0.97753 -0.299534 
0.375 0.75 0.791323 -0.97753 -0.628174 
0.4375 0.75 0.786602 -0.97753 -0.869507 
0.5 0.75 0.781789 -0.97753 -0.989992 
0.25 0.875 0.809294 -0.858934 0.0707372 
0.3125 0.875 0.804935 -0.858934 -0.299534 
0.375 0.875 0.800489 -0.858934 -0.628174 
0.4375 0.875 0.795954 -0.858934 -0.869507 
0.5 0.875 0.791333 -0.858934 -0.989992 
0.25 1 0.817759 -0.279415 0.0707372 
0.3125 1 0.813562 -0.279415 -0.299534 
0.375 1 0.809285 -0.279415 -0.628174 
0.4375 1 0.804927 -0.279415 -0.869507 
0.5 1 0.800488 -0.279415 -0.989992 

0.5 0.5 0.761535 0.14112 -0.989992 
0.5625 0.5 0.756216 0.14112 -0.972884 
0.625 0.5 0.750807 0.14112 -0.820559 
0.6875 0.5 0.745307 0.14112 -0.55419 
0.75 0.5 0.739715 0.14112 -0.210796 
0.5 0.625 0.771856 -0.571561 -0.989992 
0.5625 0.625 0.766736 -0.571561 -0.972884 
0.625 0.625 0.761525 -0.571561 -0.820559 
0.6875 0.625 0.756224 -0.571561 -0.55419 
0.75 0.625 0.750832 -0.571561 -0.210796 
0.5 0.75 0.781789 -0.97753 -0.989992 
0.5625 0.75 0.776865 -0.97753 -0.972884 
0.625 0.75 0.771849 -0.97753 -0.820559 
0.6875 0.75 0.766741 -0.97753 -0.55419 
0.75 0.75 0.761542 -0.97753 -0.210796 
0.5 0.875 0.791333 -0.858934 -0.989992 
