
0 0 0.761594
0.0625 0 0.756294
0.125 0 0.750893
0.1875 0 0.74539
0.25 0 0.739783
0 0.125 0.771895
0.0625 0.125 0.766794
0.125 0.125 0.761594
0.1875 0.125 0.756294
0.25 0.125 0.750893
0 0.25 0.781806
0.0625 0.25 0.776899
0.125 0.25 0.771895
0.1875 0.25 0.766794
0.25 0.25 0.761594
0 0.375 0.791338
0.0625 0.375 0.786619
0.125 0.375 0.781806
0.1875 0.375 0.776899
0.25 0.375 0.771895
0 0.5 0.800499
0.0625 0.5 0.795964
0.125 0.5 0.791338
0.1875 0.5 0.786619
0.25 0.5 0.781806

0.25 0 0.739783
0.3125 0 0.734072
0.375 0 0.728254
0.4375 0 0.72233
0.5 0 0.716298
0.25 0.125 0.750893
0.3125 0.125 0.74539
0.375 0.125 0.739783
0.4375 0.125 0.734072
0.5 0.125 0.728254
0.25 0.25 0.761594
0.3125 0.25 0.756294
0.375 0.25 0.750893
0.4375 0.25 0.74539
0.5 0.25 0.739783
0.25 0.375 0.771895
0.3125 0.375 0.766794
0.375 0.375 0.761594
0.4375 0.375 0.756294
0.5 0.375 0.750893
0.25 0.5 0.781806
0.3125 0.5 0.776899
0.375 0.5 0.771895
0.4375 0.5 0.766794
0.5 0.5 0.761594

0.5 0 0.716298
0.5625 0 0.710157
0.625 0 0.703906
0.6875 0 0.697543
0.75 0 0.691069
0.5 0.125 0.728254
0.5625 0.125 0.72233
0.625 0.125 0.716298
0.6875 0.125 0.710157
0.75 0.125 0.703906
0.5 0.25 0.739783
0.5625 0.25 0.734072
0.625 0.25 0.728254
0.6875 0.25 0.72233
0.75 0.25 0.716298
0.5 0.375 0.750893
0.5625 0.375 0.74539
0.625 0.375 0.739783
0.6875 0.375 0.734072
0.75 0.375 0.728254
0.5 0.5 0.761594
0.5625 0.5 0.756294
0.625 0.5 0.750893
0.6875 0.5 0.74539
0.75 0.5 0.739783

0.75 0 0.691069
0.8125 0 0.684483
0.875 0 0.677782
0.9375 0 0.670967
1 0 0.664037
0.75 0.125 0.703906
0.8125 0.125 0.697543
0.875 0.125 0.691069
0.9375 0.125 0.684483
1 0.125 0.677782
0.75 0.25 0.716298
0.8125 0.25 0.710157
0.875 0.25 0.703906
0.9375 0.25 0.697543
1 0.25 0.691069
0.75 0.375 0.728254
0.8125 0.375 0.72233
0.875 0.375 0.716298
0.9375 0.375 0.710157
1 0.375 0.703906
0.75 0.5 0.739783
0.8125 0.5 0.734072
0.875 0.5 0.728254
0.9375 0.5 0.72233
1 0.5 0.716298

0 0.5 0.800499
0.0625 0.5 0.795964
0.125 0.5 0.791338
0.1875 0.5 0.786619
0.25 0.5 0.781806
0 0.625 0.809301
0.0625 0.625 0.804944
0.125 0.625 0.800499
0.1875 0.625 0.795964
0.25 0.625 0.791338
0 0.75 0.817754
0.0625 0.75 0.813571
0.125 0.75 0.809301
0.1875 0.75 0.804944
0.25 0.75 0.800499
0 0.875 0.825868
0.0625 0.875 0.821853
0.125 0.875 0.817754
0.1875 0.875 0.813571
0.25 0.875 0.809301
0 1 0.833655
0.0625 1 0.829802
0.125 1 0.825868
0.1875 1 0.821853
0.25 1 0.817754

0.25 0.5 0.781806
0.3125 0.5 0.776899
0.375 0.5 0.771895
0.4375 0.5 0.766794
0.5 0.5 0.761594
0.25 0.625 0.791338
0.3125 0.625 0.786619
0.375 0.625 0.781806
0.4375 0.625 0.776899
0.5 0.625 0.771895
0.25 0.75 0.800499
0.3125 0.75 0.795964
0.375 0.75 0.791338
0.4375 0.75 0.786619
0.5 0.75 0.781806
0.25 0.875 0.809301
0.3125 0.875 0.804944
0.375 0.875 0.800499
0.4375 0.875 0.795964
0.5 0.875 0.791338
0.25 1 0.817754
0.3125 1 0.813571
0.375 1 0.809301
0.4375 1 0.804944
0.5 1 0.800499

0.5 0.5 0.761594
0.5625 0.5 0.756294
0.625 0.5 0.750893
0.6875 0.5 0.74539
0.75 0.5 0.739783
0.5 0.625 0.771895
0.5625 0.625 0.766794
0.625 0.625 0.761594
0.6875 0.625 0.756294
0.75 0.625 0.750893
0.5 0.75 0.781806
0.5625 0.75 0.776899
0.625 0.75 0.771895
0.6875 0.75 0.766794
0.75 0.75 0.761594
0.5 0.875 0.791338
0.5625 0.875 0.786619
0.625 0.875 0.781806
0.6875 0.875 0.776899
0.75 0.875 0.771895
0.5 1 0.800499
0.5625 1 0.795964
0.625 1 0.791338
0.6875 1 0.786619
0.75 1 0.781806

0.75 0.5 0.739783
0.8125 0.5 0.734072
0.875 0.5 0.728254
0.9375 0.5 0.72233
1 0.5 0.716298
0.75 0.625 0.750893
0.8125 0.625 0.74539
0.875 0.625 0.739783
0.9375 0.625 0.734072
1 0.625 0.728254
0.75 0.75 0.761594
0.8125 0.75 0.756294
0.875 0.75 0.750893
0.9375 0.75 0.74539
1 0.75 0.739783
0.75 0.875 0.771895
0.8125 0.875 0.766794
0.875 0.875 0.761594
0.9375 0.875 0.756294
1 0.875 0.750893
0.75 1 0.781806
0.8125 1 0.776899
0.875 1 0.771895
0.9375 1 0.766794
1 1 0.761594

0 1 0.833655
0.0625 1 0.829802
0.125 1 0.825868
0.1875 1 0.821853
0.25 1 0.817754
0 1.125 0.841123
0.0625 1.125 0.837428
0.125 1.125 0.833655
0.1875 1.125 0.829802
0.25 1.125 0.825868
0 1.25 0.848284
0.0625 1.25 0.844741
0.125 1.25 0.841123
0.1875 1.25 0.837428
0.25 1.25 0.833655
0 1.375 0.855147
0.0625 1.375 0.851752
0.125 1.375 0.848284
0.1875 1.375 0.844741
0.25 1.375 0.841123
0 1.5 0.861723
0.0625 1.5 0.85847
0.125 1.5 0.855147
0.1875 1.5 0.851752
0.25 1.5 0.848284

0.25 1 0.817754
0.3125 1 0.813571
0.375 1 0.809301
0.4375 1 0.804944
0.5 1 0.800499
0.25 1.125 0.825868
0.3125 1.125 0.821853
0.375 1.125 0.817754
0.4375 1.125 0.813571
0.5 1.125 0.809301
0.25 1.25 0.833655
0.3125 1.25 0.829802
0.375 1.25 0.825868
0.4375 1.25 0.821853
0.5 1.25 0.817754
0.25 1.375 0.841123
0.3125 1.375 0.837428
0.375 1.375 0.833655
0.4375 1.375 0.829802
0.5 1.375 0.825868
0.25 1.5 0.848284
0.3125 1.5 0.844741
0.375 1.5 0.841123
0.4375 1.5 0.837428
0.5 1.5 0.833655

0.5 1 0.800499
0.5625 1 0.795964
0.625 1 0.791338
0.6875 1 0.786619
0.75 1 0.781806
0.5 1.125 0.809301
0.5625 1.125 0.804944
0.625 1.125 0.800499
0.6875 1.125 0.795964
0.75 1.125 0.791338
0.5 1.25 0.817754
0.5625 1.25 0.813571
0.625 1.25 0.809301
0.6875 1.25 0.804944
0.75 1.25 0.800499
0.5 1.375 0.825868
0.5625 1.375 0.821853
0.625 1.375 0.817754
0.6875 1.375 0.813571
0.75 1.375 0.809301
0.5 1.5 0.833655
0.5625 1.5 0.829802
0.625 1.5 0.825868
0.6875 1.5 0.821853
0.75 1.5 0.817754

0.75 1 0.781806
0.8125 1 0.776899
0.875 1 0.771895
0.9375 1 0.766794
1 1 0.761594
0.75 1.125 0.791338
0.8125 1.125 0.786619
0.875 1.125 0.781806
0.9375 1.125 0.776899
1 1.125 0.771895
0.75 1.25 0.800499
0.8125 1.25 0.795964
0.875 1.25 0.791338
0.9375 1.25 0.786619
1 1.25 0.781806
0.75 1.375 0.809301
0.8125 1.375 0.804944
0.875 1.375 0.800499
0.9375 1.375 0.795964
1 1.375 0.791338
0.75 1.5 0.817754
0.8125 1.5 0.813571
0.875 1.5 0.809301
0.9375 1.5 0.804944
1 1.5 0.800499

0 1.5 0.861723
0.0625 1.5 0.85847
0.125 1.5 0.855147
0.1875 1.5 0.851752
0.25 1.5 0.848284
0 1.625 0.868022
0.0625 1.625 0.864907
0.125 1.625 0.861723
0.1875 1.625 0.85847
0.25 1.625 0.855147
0 1.75 0.874053
0.0625 1.75 0.87107
0.125 1.75 0.868022
0.1875 1.75 0.864907
0.25 1.75 0.861723
0 1.875 0.879827
0.0625 1.875 0.876972
0.125 1.875 0.874053
0.1875 1.875 0.87107
0.25 1.875 0.868022
0 2 0.885352
0.0625 2 0.88262
0.125 2 0.879827
0.1875 2 0.876972
0.25 2 0.874053

0.25 1.5 0.848284
0.3125 1.5 0.844741
0.375 1.5 0.841123
0.4375 1.5 0.837428
0.5 1.5 0.833655
0.25 1.625 0.855147
0.3125 1.625 0.851752
0.375 1.625 0.848284
0.4375 1.625 0.844741
0.5 1.625 0.841123
0.25 1.75 0.861723
0.3125 1.75 0.85847
0.375 1.75 0.855147
0.4375 1.75 0.851752
0.5 1.75 0.848284
0.25 1.875 0.868022
0.3125 1.875 0.864907
0.375 1.875 0.861723
0.4375 1.875 0.85847
0.5 1.875 0.855147
0.25 2 0.874053
0.3125 2 0.87107
0.375 2 0.868022
0.4375 2 0.864907
0.5 2 0.861723

0.5 1.5 0.833655
0.5625 1.5 0.829802
0.625 1.5 0.825868
0.6875 1.5 0.821853
0.75 1.5 0.817754
0.5 1.625 0.841123
0.5625 1.625 0.837428
0.625 1.625 0.833655
0.6875 1.625 0.829802
0.75 1.625 0.825868
0.5 1.75 0.848284
0.5625 1.75 0.844741
0.625 1.75 0.841123
0.6875 1.75 0.837428
0.75 1.75 0.833655
0.5 1.875 0.855147
0.5625 1.875 0.851752
0.625 1.875 0.848284
0.6875 1.875 0.844741
0.75 1.875 0.841123
0.5 2 0.861723
0.5625 2 0.85847
0.625 2 0.855147
0.6875 2 0.851752
0.75 2 0.848284

0.75 1.5 0.817754
0.8125 1.5 0.813571
0.875 1.5 0.809301
0.9375 1.5 0.804944
1 1.5 0.800499
0.75 1.625 0.825868
0.8125 1.625 0.821853
0.875 1.625 0.817754
0.9375 1.625 0.813571
1 1.625 0.809301
0.75 1.75 0.833655
0.8125 1.75 0.829802
0.875 1.75 0.825868
0.9375 1.75 0.821853
1 1.75 0.817754
0.75 1.875 0.841123
0.8125 1.875 0.837428
0.875 1.875 0.833655
0.9375 1.875 0.829802
1 1.875 0.825868
0.75 2 0.848284
0.8125 2 0.844741
0.875 2 0.841123
0.9375 2 0.837428
1 2 0.833655
